time,open,high,low,close,tick_volume,spread,real_volume,volume
2023-02-01 00:00:00,1.33031,1.33062,1.33027,1.33062,45.00000,24,0.00000,
2023-02-01 00:15:00,1.33048,1.33070,1.33017,1.33047,64.00000,28,0.00000,
2023-02-01 00:30:00,1.33047,1.33048,1.33008,1.33034,153.00000,22,0.00000,
2023-02-01 00:45:00,1.33035,1.33064,1.33035,1.33049,92.00000,11,0.00000,
2023-02-01 01:00:00,1.33066,1.33084,1.33048,1.33070,372.00000,0,0.00000,
2023-02-01 01:15:00,1.33074,1.33074,1.33042,1.33060,275.00000,0,0.00000,
2023-02-01 01:30:00,1.33059,1.33068,1.33049,1.33063,117.00000,0,0.00000,
2023-02-01 01:45:00,1.33063,1.33079,1.33027,1.33079,175.00000,0,0.00000,
2023-02-01 02:00:00,1.33079,1.33099,1.33048,1.33063,328.00000,0,0.00000,
2023-02-01 02:15:00,1.33063,1.33098,1.33062,1.33072,286.00000,0,0.00000,
2023-02-01 02:30:00,1.33072,1.33072,1.33024,1.33043,374.00000,0,0.00000,
2023-02-01 02:45:00,1.33043,1.33076,1.33041,1.33057,295.00000,0,0.00000,
2023-02-01 03:00:00,1.33058,1.33064,1.32985,1.33005,541.00000,0,0.00000,
2023-02-01 03:15:00,1.33006,1.33035,1.32999,1.33017,549.00000,0,0.00000,
2023-02-01 03:30:00,1.33017,1.33038,1.32998,1.33038,209.00000,0,0.00000,
2023-02-01 03:45:00,1.33045,1.33128,1.33045,1.33088,481.00000,0,0.00000,
2023-02-01 04:00:00,1.33087,1.33154,1.33074,1.33154,279.00000,0,0.00000,
2023-02-01 04:15:00,1.33148,1.33190,1.33124,1.33183,298.00000,0,0.00000,
2023-02-01 04:30:00,1.33185,1.33215,1.33166,1.33211,233.00000,0,0.00000,
2023-02-01 04:45:00,1.33212,1.33248,1.33206,1.33212,296.00000,0,0.00000,
2023-02-01 05:00:00,1.33212,1.33230,1.33153,1.33169,250.00000,0,0.00000,
2023-02-01 05:15:00,1.33169,1.33172,1.33135,1.33140,342.00000,0,0.00000,
2023-02-01 05:30:00,1.33140,1.33149,1.33118,1.33131,233.00000,0,0.00000,
2023-02-01 05:45:00,1.33131,1.33138,1.33106,1.33106,176.00000,0,0.00000,
2023-02-01 06:00:00,1.33107,1.33120,1.33070,1.33071,227.00000,0,0.00000,
2023-02-01 06:15:00,1.33071,1.33087,1.33060,1.33072,205.00000,0,0.00000,
2023-02-01 06:30:00,1.33071,1.33085,1.33048,1.33083,249.00000,0,0.00000,
2023-02-01 06:45:00,1.33087,1.33095,1.33076,1.33094,309.00000,0,0.00000,
2023-02-01 07:00:00,1.33094,1.33115,1.33070,1.33073,312.00000,0,0.00000,
2023-02-01 07:15:00,1.33076,1.33147,1.33071,1.33138,343.00000,0,0.00000,
2023-02-01 07:30:00,1.33139,1.33163,1.33120,1.33150,366.00000,0,0.00000,
2023-02-01 07:45:00,1.33150,1.33250,1.33100,1.33248,434.00000,0,0.00000,
2023-02-01 08:00:00,1.33249,1.33250,1.33149,1.33167,403.00000,0,0.00000,
2023-02-01 08:15:00,1.33167,1.33179,1.33149,1.33154,302.00000,0,0.00000,
2023-02-01 08:30:00,1.33154,1.33158,1.33107,1.33158,251.00000,0,0.00000,
2023-02-01 08:45:00,1.33158,1.33174,1.33142,1.33159,305.00000,0,0.00000,
2023-02-01 09:00:00,1.33159,1.33164,1.33088,1.33126,638.00000,0,0.00000,
2023-02-01 09:15:00,1.33129,1.33133,1.33071,1.33104,624.00000,0,0.00000,
2023-02-01 09:30:00,1.33103,1.33230,1.33103,1.33227,518.00000,0,0.00000,
2023-02-01 09:45:00,1.33227,1.33227,1.33086,1.33111,518.00000,0,0.00000,
2023-02-01 10:00:00,1.33107,1.33129,1.33068,1.33106,761.00000,0,0.00000,
2023-02-01 10:15:00,1.33106,1.33116,1.32994,1.33000,779.00000,0,0.00000,
2023-02-01 10:30:00,1.33001,1.33008,1.32957,1.32973,824.00000,0,0.00000,
2023-02-01 10:45:00,1.32970,1.32988,1.32888,1.32902,777.00000,0,0.00000,
2023-02-01 11:00:00,1.32899,1.32954,1.32896,1.32945,647.00000,0,0.00000,
2023-02-01 11:15:00,1.32949,1.33036,1.32946,1.33016,546.00000,0,0.00000,
2023-02-01 11:30:00,1.33015,1.33098,1.32971,1.33034,905.00000,0,0.00000,
2023-02-01 11:45:00,1.33032,1.33096,1.32997,1.33083,672.00000,0,0.00000,
2023-02-01 12:00:00,1.33085,1.33106,1.33034,1.33102,810.00000,0,0.00000,
