time,open,high,low,close,tick_volume,spread,real_volume
2025-05-02 14:15:00,0.59390,0.59396,0.59390,0.59396,21,3,0
2025-05-02 14:16:00,0.59397,0.59416,0.59396,0.59412,26,3,0
2025-05-02 14:17:00,0.59411,0.59418,0.59411,0.59412,23,3,0
2025-05-02 14:18:00,0.59412,0.59418,0.59411,0.59417,24,3,0
2025-05-02 14:19:00,0.59417,0.59427,0.59413,0.59425,20,3,0
2025-05-02 14:20:00,0.59421,0.59433,0.59421,0.59424,35,3,0
2025-05-02 14:21:00,0.59423,0.59428,0.59416,0.59423,37,3,0
2025-05-02 14:22:00,0.59422,0.59427,0.59422,0.59427,15,3,0
2025-05-02 14:23:00,0.59427,0.59440,0.59427,0.59435,35,3,0
2025-05-02 14:24:00,0.59435,0.59442,0.59430,0.59437,23,3,0
2025-05-02 14:25:00,0.59437,0.59443,0.59437,0.59441,24,3,0
2025-05-02 14:26:00,0.59441,0.59443,0.59433,0.59437,38,3,0
2025-05-02 14:27:00,0.59437,0.59440,0.59426,0.59428,26,3,0
2025-05-02 14:28:00,0.59429,0.59435,0.59427,0.59427,27,3,0
2025-05-02 14:29:00,0.59428,0.59433,0.59428,0.59432,22,3,0
2025-05-02 14:30:00,0.59432,0.59437,0.59424,0.59427,25,3,0
2025-05-02 14:31:00,0.59427,0.59429,0.59418,0.59423,22,3,0
2025-05-02 14:32:00,0.59423,0.59428,0.59421,0.59427,23,3,0
2025-05-02 14:33:00,0.59426,0.59429,0.59415,0.59427,27,3,0
2025-05-02 14:34:00,0.59427,0.59427,0.59421,0.59422,18,3,0
2025-05-02 14:35:00,0.59422,0.59433,0.59419,0.59432,39,3,0
2025-05-02 14:36:00,0.59432,0.59439,0.59431,0.59433,28,3,0
2025-05-02 14:37:00,0.59434,0.59443,0.59432,0.59443,34,3,0
2025-05-02 14:38:00,0.59442,0.59447,0.59439,0.59445,30,3,0
2025-05-02 14:39:00,0.59446,0.59464,0.59446,0.59462,49,3,0
2025-05-02 14:40:00,0.59462,0.59462,0.59443,0.59455,42,3,0
2025-05-02 14:41:00,0.59455,0.59461,0.59444,0.59444,20,3,0
2025-05-02 14:42:00,0.59442,0.59444,0.59431,0.59431,28,3,0
2025-05-02 14:43:00,0.59426,0.59429,0.59423,0.59424,46,3,0
2025-05-02 14:44:00,0.59424,0.59432,0.59422,0.59427,34,3,0
2025-05-02 14:45:00,0.59427,0.59427,0.59414,0.59416,19,3,0
2025-05-02 14:46:00,0.59417,0.59424,0.59405,0.59406,31,3,0
2025-05-02 14:47:00,0.59405,0.59410,0.59401,0.59409,47,3,0
2025-05-02 14:48:00,0.59409,0.59420,0.59405,0.59418,34,3,0
2025-05-02 14:49:00,0.59418,0.59419,0.59404,0.59404,30,3,0
2025-05-02 14:50:00,0.59405,0.59409,0.59403,0.59407,41,3,0
2025-05-02 14:51:00,0.59407,0.59418,0.59398,0.59400,34,3,0
2025-05-02 14:52:00,0.59401,0.59410,0.59399,0.59403,36,3,0
2025-05-02 14:53:00,0.59403,0.59403,0.59393,0.59394,30,3,0
2025-05-02 14:54:00,0.59394,0.59412,0.59393,0.59411,31,3,0
2025-05-02 14:55:00,0.59412,0.59412,0.59399,0.59400,34,3,0
2025-05-02 14:56:00,0.59399,0.59407,0.59396,0.59401,35,3,0
2025-05-02 14:57:00,0.59401,0.59412,0.59399,0.59412,42,3,0
2025-05-02 14:58:00,0.59412,0.59414,0.59407,0.59410,38,3,0
2025-05-02 14:59:00,0.59412,0.59416,0.59410,0.59410,19,3,0
2025-05-02 15:00:00,0.59410,0.59426,0.59402,0.59424,47,3,0
2025-05-02 15:01:00,0.59424,0.59424,0.59413,0.59413,31,3,0
2025-05-02 15:02:00,0.59413,0.59417,0.59411,0.59412,22,3,0
2025-05-02 15:03:00,0.59412,0.59415,0.59406,0.59407,37,3,0
2025-05-02 15:04:00,0.59406,0.59407,0.59390,0.59392,32,3,0
2025-05-02 15:05:00,0.59392,0.59403,0.59391,0.59401,28,3,0
2025-05-02 15:06:00,0.59401,0.59414,0.59401,0.59414,23,3,0
2025-05-02 15:07:00,0.59415,0.59433,0.59410,0.59432,24,3,0
2025-05-02 15:08:00,0.59432,0.59440,0.59427,0.59439,40,3,0
2025-05-02 15:09:00,0.59439,0.59453,0.59439,0.59452,36,3,0
2025-05-02 15:10:00,0.59452,0.59456,0.59447,0.59455,33,3,0
2025-05-02 15:11:00,0.59455,0.59459,0.59443,0.59443,34,3,0
2025-05-02 15:12:00,0.59443,0.59447,0.59427,0.59432,29,3,0
2025-05-02 15:13:00,0.59432,0.59432,0.59420,0.59423,23,3,0
2025-05-02 15:14:00,0.59423,0.59433,0.59422,0.59432,42,3,0
2025-05-02 15:15:00,0.59431,0.59431,0.59416,0.59419,25,3,0
2025-05-02 15:16:00,0.59419,0.59421,0.59405,0.59406,39,3,0
2025-05-02 15:17:00,0.59404,0.59408,0.59392,0.59394,24,3,0
2025-05-02 15:18:00,0.59394,0.59399,0.59392,0.59399,35,3,0
2025-05-02 15:19:00,0.59402,0.59404,0.59391,0.59392,32,3,0
2025-05-02 15:20:00,0.59392,0.59415,0.59392,0.59414,27,3,0
2025-05-02 15:21:00,0.59414,0.59414,0.59400,0.59406,44,3,0
2025-05-02 15:22:00,0.59407,0.59408,0.59395,0.59403,46,3,0
2025-05-02 15:23:00,0.59403,0.59404,0.59396,0.59399,22,3,0
2025-05-02 15:24:00,0.59399,0.59401,0.59391,0.59396,30,3,0
2025-05-02 15:25:00,0.59401,0.59406,0.59398,0.59398,33,3,0
