time,open,high,low,close,tick_volume,spread,real_volume,volume
2015-01-02 00:00:00,1.55440,1.55467,1.53242,1.53244,70780.00000,12,0.00000,
2015-01-05 00:00:00,1.52995,1.53184,1.51718,1.52483,108979.00000,12,0.00000,
2015-01-06 00:00:00,1.52482,1.52729,1.51404,1.51485,107006.00000,12,0.00000,
2015-01-07 00:00:00,1.51485,1.51546,1.50543,1.51084,111304.00000,12,0.00000,
2015-01-08 00:00:00,1.51083,1.51166,1.50336,1.50882,94075.00000,11,0.00000,
2015-01-09 00:00:00,1.50882,1.51738,1.50764,1.51571,104093.00000,10,0.00000,
2015-01-12 00:00:00,1.51768,1.51929,1.50982,1.51694,93714.00000,12,0.00000,
2015-01-13 00:00:00,1.51697,1.51908,1.50769,1.51582,110581.00000,12,0.00000,
2015-01-14 00:00:00,1.51582,1.52678,1.51443,1.52320,114133.00000,12,0.00000,
2015-01-15 00:00:00,1.52321,1.52665,1.51494,1.51805,127237.00000,11,0.00000,
2015-01-16 00:00:00,1.51813,1.52336,1.50745,1.51450,125329.00000,9,0.00000,
2015-01-19 00:00:00,1.51274,1.51780,1.51079,1.51098,51772.00000,8,0.00000,
2015-01-20 00:00:00,1.51107,1.51985,1.50577,1.51417,40874.00000,12,0.00000,
2015-01-21 00:00:00,1.51421,1.51779,1.50751,1.51399,50415.00000,14,0.00000,
2015-01-22 00:00:00,1.51397,1.52114,1.49714,1.50076,57253.00000,14,0.00000,
2015-01-23 00:00:00,1.50087,1.50346,1.49503,1.49876,59924.00000,11,0.00000,
2015-01-26 00:00:00,1.50079,1.51026,1.49858,1.50758,47625.00000,15,0.00000,
2015-01-27 00:00:00,1.50751,1.52227,1.50590,1.51958,70437.00000,1,16414778000.00000,
2015-01-28 00:00:00,1.51919,1.52185,1.51302,1.51364,83169.00000,1,0.00000,
2015-01-29 00:00:00,1.51349,1.51616,1.50176,1.50642,46843.00000,6,8000000.00000,
2015-01-30 00:00:00,1.50626,1.50950,1.49882,1.50619,47062.00000,13,0.00000,
2015-02-02 00:00:00,1.50933,1.50982,1.50048,1.50373,77250.00000,8,0.00000,
2015-02-03 00:00:00,1.50380,1.51969,1.49883,1.51650,86690.00000,8,0.00000,
2015-02-04 00:00:00,1.51650,1.52499,1.51382,1.51801,73098.00000,2,0.00000,
2015-02-05 00:00:00,1.51805,1.53427,1.51642,1.53264,81400.00000,8,0.00000,
2015-02-06 00:00:00,1.53263,1.53516,1.52103,1.52250,70972.00000,8,0.00000,
2015-02-09 00:00:00,1.52265,1.52662,1.52000,1.52136,73909.00000,6,0.00000,
2015-02-10 00:00:00,1.52134,1.52746,1.51959,1.52530,73791.00000,8,0.00000,
2015-02-11 00:00:00,1.52530,1.52988,1.52184,1.52358,72072.00000,6,0.00000,
2015-02-12 00:00:00,1.52351,1.54127,1.52088,1.53825,79397.00000,6,0.00000,
2015-02-13 00:00:00,1.53824,1.54215,1.53705,1.53928,73170.00000,8,0.00000,
2015-02-16 00:00:00,1.54178,1.54396,1.53385,1.53613,70974.00000,8,0.00000,
2015-02-17 00:00:00,1.53607,1.54013,1.53156,1.53518,73475.00000,10,0.00000,
2015-02-18 00:00:00,1.53517,1.54777,1.53410,1.54344,78140.00000,8,0.00000,
2015-02-19 00:00:00,1.54345,1.54649,1.54040,1.54134,70165.00000,8,0.00000,
2015-02-20 00:00:00,1.54124,1.54333,1.53430,1.53983,76045.00000,1,0.00000,
2015-02-23 00:00:00,1.53953,1.54739,1.53321,1.54558,63625.00000,8,0.00000,
2015-02-24 00:00:00,1.54554,1.54733,1.54038,1.54515,65712.00000,8,0.00000,
2015-02-25 00:00:00,1.54527,1.55380,1.54465,1.55273,64527.00000,8,0.00000,
2015-02-26 00:00:00,1.55279,1.55516,1.53940,1.54051,70077.00000,8,0.00000,
2015-02-27 00:00:00,1.54050,1.54580,1.53840,1.54365,70621.00000,7,0.00000,
