time,open,high,low,close,volume,spread,tick_volume,real_volume
2023-10-23 02:45:00,1975.16000,1975.17000,1970.15000,1971.57000,817.00000,5,,
2023-10-23 03:00:00,1971.59000,1972.86000,1969.97000,1971.74000,825.00000,5,,
2023-10-23 03:15:00,1971.73000,1973.19000,1971.42000,1971.90000,592.00000,5,,
2023-10-23 03:30:00,1971.94000,1973.26000,1970.34000,1970.43000,630.00000,5,,
2023-10-23 03:45:00,1970.46000,1970.56000,1964.38000,1966.31000,1246.00000,5,,
2023-10-23 04:00:00,1966.33000,1967.58000,1964.43000,1965.69000,1434.00000,8,,
2023-10-23 04:15:00,1965.67000,1967.39000,1965.33000,1966.74000,1058.00000,5,,
2023-10-23 04:30:00,1966.65000,1968.28000,1966.15000,1967.65000,968.00000,5,,
2023-10-23 04:45:00,1967.62000,1967.70000,1966.15000,1966.66000,844.00000,5,,
2023-10-23 05:00:00,1966.51000,1969.96000,1966.50000,1969.69000,993.00000,7,,
2023-10-23 05:15:00,1969.70000,1971.32000,1969.70000,1971.18000,597.00000,5,,
2023-10-23 05:30:00,1971.18000,1973.37000,1970.41000,1972.26000,880.00000,5,,
2023-10-23 05:45:00,1972.25000,1974.33000,1971.14000,1972.68000,965.00000,5,,
2023-10-23 06:00:00,1972.67000,1974.25000,1972.32000,1973.28000,828.00000,5,,
2023-10-23 06:15:00,1973.41000,1973.74000,1971.95000,1972.03000,613.00000,5,,
2023-10-23 06:30:00,1972.01000,1973.17000,1971.74000,1972.15000,570.00000,5,,
2023-10-23 06:45:00,1972.16000,1974.75000,1971.92000,1973.67000,574.00000,5,,
2023-10-23 07:00:00,1973.68000,1974.78000,1972.85000,1973.85000,699.00000,5,,
2023-10-23 07:15:00,1973.86000,1974.04000,1973.22000,1973.27000,344.00000,5,,
2023-10-23 07:30:00,1973.43000,1974.34000,1973.26000,1974.29000,362.00000,5,,
2023-10-23 07:45:00,1974.26000,1974.26000,1972.79000,1973.78000,478.00000,5,,
2023-10-23 08:00:00,1973.68000,1975.25000,1973.56000,1974.37000,362.00000,8,,
2023-10-23 08:15:00,1974.32000,1974.75000,1973.10000,1973.13000,350.00000,8,,
2023-10-23 08:30:00,1973.17000,1976.78000,1972.77000,1975.82000,905.00000,8,,
2023-10-23 08:45:00,1975.82000,1976.20000,1974.56000,1975.72000,666.00000,12,,
2023-10-23 09:00:00,1975.84000,1976.84000,1975.54000,1976.24000,813.00000,6,,
2023-10-23 09:15:00,1976.23000,1977.48000,1976.16000,1976.59000,772.00000,6,,
2023-10-23 09:30:00,1976.52000,1977.56000,1975.08000,1975.19000,850.00000,6,,
2023-10-23 09:45:00,1975.19000,1976.12000,1975.12000,1975.77000,776.00000,6,,
2023-10-23 10:00:00,1975.68000,1977.04000,1974.50000,1975.54000,1423.00000,6,,
2023-10-23 10:15:00,1975.54000,1976.64000,1975.03000,1976.22000,981.00000,6,,
2023-10-23 10:30:00,1976.18000,1979.76000,1976.12000,1978.66000,1163.00000,6,,
2023-10-23 10:45:00,1978.66000,1979.58000,1977.50000,1979.46000,1027.00000,6,,
2023-10-23 11:00:00,1979.43000,1981.74000,1979.37000,1980.14000,1197.00000,6,,
2023-10-23 11:15:00,1980.10000,1980.74000,1979.10000,1979.91000,927.00000,6,,
2023-10-23 11:30:00,1979.89000,1981.90000,1979.87000,1981.33000,980.00000,5,,
2023-10-23 11:45:00,1981.28000,1981.96000,1980.83000,1981.46000,981.00000,5,,
2023-10-23 12:00:00,1981.46000,1982.82000,1980.26000,1980.55000,828.00000,5,,
2023-10-23 12:15:00,1980.54000,1982.31000,1980.12000,1982.30000,736.00000,5,,
2023-10-23 12:30:00,1982.38000,1982.42000,1979.02000,1979.04000,981.00000,5,,
2023-10-23 12:45:00,1979.05000,1979.12000,1976.90000,1977.64000,1043.00000,5,,
2023-10-23 13:00:00,1977.72000,1978.46000,1977.06000,1977.62000,1019.00000,5,,
2023-10-23 13:15:00,1977.65000,1978.49000,1976.25000,1976.34000,818.00000,5,,
2023-10-23 13:30:00,1976.33000,1977.01000,1975.30000,1976.27000,860.00000,5,,
2023-10-23 13:45:00,1976.28000,1977.86000,1976.28000,1977.48000,792.00000,5,,
2023-10-23 14:00:00,1977.46000,1979.22000,1977.12000,1978.79000,798.00000,5,,
2023-10-23 14:15:00,1978.80000,1979.34000,1975.98000,1976.26000,876.00000,5,,
2023-10-23 14:30:00,1976.26000,1979.17000,1976.22000,1978.99000,1042.00000,5,,
2023-10-23 14:45:00,1979.00000,1979.86000,1977.60000,1979.36000,1060.00000,5,,
2023-10-23 15:00:00,1979.37000,1979.40000,1976.04000,1976.90000,1299.00000,5,,
2023-10-23 15:15:00,1976.93000,1981.79000,1976.41000,1981.53000,1737.00000,5,,
2023-10-23 15:30:00,1981.60000,1981.99000,1977.01000,1978.79000,1595.00000,5,,
2023-10-23 15:45:00,1978.85000,1979.23000,1976.65000,1977.58000,1666.00000,5,,
2023-10-23 16:00:00,1977.59000,1980.04000,1977.20000,1978.29000,1647.00000,5,,
2023-10-23 16:15:00,1978.31000,1979.76000,1977.14000,1978.73000,1494.00000,5,,
2023-10-23 16:30:00,1978.53000,1978.53000,1970.19000,1970.25000,2408.00000,5,,
