time,open,high,low,close,volume,spread,tick_volume,real_volume
2017-10-05 16:00:00,1276.86000,1277.80000,1271.95000,1272.48000,62211.00000,4,,
2017-10-05 20:00:00,1272.47000,1272.56000,1266.47000,1268.12000,28860.00000,4,,
2017-10-06 00:00:00,1267.97000,1269.40000,1267.69000,1268.96000,11342.00000,6,,
2017-10-06 04:00:00,1268.96000,1269.66000,1267.13000,1268.06000,17092.00000,6,,
2017-10-06 08:00:00,1268.05000,1269.31000,1267.18000,1268.37000,27602.00000,4,,
2017-10-06 12:00:00,1268.38000,1271.70000,1263.43000,1264.74000,49956.00000,4,,
2017-10-06 16:00:00,1264.67000,1275.70000,1260.64000,1273.48000,90125.00000,4,,
2017-10-06 20:00:00,1273.48000,1276.53000,1272.10000,1276.41000,23714.00000,4,,
2017-10-09 00:00:00,1276.22000,1277.67000,1275.32000,1275.97000,11168.00000,6,,
2017-10-09 04:00:00,1275.98000,1284.99000,1275.98000,1282.71000,27587.00000,6,,
2017-10-09 08:00:00,1282.62000,1285.46000,1279.66000,1282.40000,31022.00000,4,,
2017-10-09 12:00:00,1282.39000,1284.19000,1279.92000,1280.44000,27299.00000,4,,
2017-10-09 16:00:00,1280.50000,1282.20000,1279.45000,1281.36000,39163.00000,4,,
2017-10-09 20:00:00,1281.33000,1285.20000,1281.22000,1283.96000,20486.00000,4,,
2017-10-10 00:00:00,1283.72000,1284.29000,1282.14000,1283.13000,13629.00000,6,,
2017-10-10 04:00:00,1283.12000,1288.19000,1282.72000,1287.31000,30878.00000,6,,
2017-10-10 08:00:00,1287.30000,1289.47000,1285.63000,1288.75000,42919.00000,4,,
2017-10-10 12:00:00,1288.79000,1292.91000,1288.49000,1289.17000,47204.00000,4,,
2017-10-10 16:00:00,1289.16000,1294.24000,1288.23000,1290.34000,64486.00000,4,,
2017-10-10 20:00:00,1290.34000,1292.05000,1287.70000,1287.74000,32939.00000,4,,
2017-10-11 00:00:00,1287.47000,1291.37000,1287.47000,1290.17000,13166.00000,6,,
2017-10-11 04:00:00,1290.18000,1291.68000,1286.73000,1287.48000,30412.00000,6,,
2017-10-11 08:00:00,1287.49000,1290.52000,1287.19000,1289.96000,39699.00000,4,,
2017-10-11 12:00:00,1289.95000,1291.34000,1288.58000,1291.09000,35640.00000,4,,
2017-10-11 16:00:00,1291.09000,1291.20000,1284.69000,1286.16000,60365.00000,4,,
2017-10-11 20:00:00,1286.14000,1293.57000,1284.59000,1291.72000,45100.00000,4,,
2017-10-12 00:00:00,1291.57000,1294.13000,1291.57000,1293.48000,16521.00000,6,,
2017-10-12 04:00:00,1293.48000,1295.53000,1291.89000,1294.87000,27691.00000,6,,
2017-10-12 08:00:00,1294.87000,1297.51000,1294.55000,1295.98000,34451.00000,4,,
2017-10-12 12:00:00,1295.98000,1296.31000,1290.77000,1292.27000,41797.00000,4,,
2017-10-12 16:00:00,1292.26000,1293.96000,1289.68000,1293.23000,54203.00000,4,,
2017-10-12 20:00:00,1293.22000,1295.23000,1292.73000,1293.48000,25788.00000,4,,
2017-10-13 00:00:00,1293.37000,1294.72000,1293.22000,1294.38000,10355.00000,6,,
2017-10-13 04:00:00,1294.38000,1296.78000,1294.06000,1295.72000,23885.00000,6,,
2017-10-13 08:00:00,1295.73000,1298.46000,1293.70000,1294.53000,39368.00000,4,,
2017-10-13 12:00:00,1294.53000,1302.52000,1291.01000,1300.45000,50859.00000,4,,
2017-10-13 16:00:00,1300.44000,1302.80000,1298.42000,1301.15000,70575.00000,4,,
2017-10-13 20:00:00,1301.16000,1303.77000,1300.68000,1303.44000,30110.00000,4,,
2017-10-16 00:00:00,1302.56000,1304.53000,1301.74000,1302.47000,14272.00000,6,,
2017-10-16 04:00:00,1302.46000,1303.06000,1301.08000,1302.07000,21539.00000,6,,
2017-10-16 08:00:00,1302.06000,1305.86000,1301.93000,1303.77000,35215.00000,4,,
2017-10-16 12:00:00,1303.76000,1306.08000,1303.76000,1305.55000,34582.00000,4,,
2017-10-16 16:00:00,1305.56000,1305.67000,1302.74000,1303.60000,53021.00000,4,,
2017-10-16 20:00:00,1303.60000,1303.60000,1290.48000,1295.10000,47793.00000,4,,
2017-10-17 00:00:00,1294.82000,1296.27000,1293.26000,1293.84000,14248.00000,6,,
2017-10-17 04:00:00,1293.85000,1295.27000,1292.13000,1292.76000,27129.00000,6,,
2017-10-17 08:00:00,1292.76000,1292.98000,1287.88000,1289.42000,39834.00000,4,,
2017-10-17 12:00:00,1289.44000,1290.26000,1283.82000,1284.22000,46041.00000,4,,
2017-10-17 16:00:00,1284.22000,1286.45000,1281.40000,1285.05000,61571.00000,4,,
2017-10-17 20:00:00,1285.06000,1287.53000,1284.04000,1285.15000,26706.00000,4,,
2017-10-18 00:00:00,1284.92000,1286.98000,1284.74000,1286.64000,11694.00000,6,,
2017-10-18 04:00:00,1286.65000,1288.86000,1285.71000,1286.40000,21072.00000,6,,
2017-10-18 08:00:00,1286.41000,1286.64000,1280.57000,1281.19000,41065.00000,4,,
2017-10-18 12:00:00,1281.18000,1281.64000,1277.00000,1279.99000,44259.00000,4,,
2017-10-18 16:00:00,1279.99000,1283.54000,1279.57000,1281.16000,57288.00000,4,,
2017-10-18 20:00:00,1281.17000,1282.12000,1280.40000,1280.88000,21857.00000,4,,
2017-10-19 00:00:00,1280.70000,1281.74000,1280.14000,1281.24000,14930.00000,6,,
2017-10-19 04:00:00,1281.25000,1281.98000,1276.66000,1277.77000,30429.00000,6,,
2017-10-19 08:00:00,1277.78000,1286.27000,1276.76000,1284.13000,62769.00000,4,,
2017-10-19 12:00:00,1284.13000,1289.75000,1283.14000,1284.66000,56987.00000,4,,
2017-10-19 16:00:00,1284.69000,1290.08000,1284.49000,1287.73000,72941.00000,4,,
2017-10-19 20:00:00,1287.72000,1290.49000,1285.56000,1289.69000,30657.00000,4,,
2017-10-20 00:00:00,1289.44000,1291.11000,1288.74000,1289.41000,13716.00000,6,,
2017-10-20 04:00:00,1289.40000,1290.10000,1282.62000,1283.31000,44643.00000,6,,
2017-10-20 08:00:00,1283.32000,1285.31000,1279.24000,1281.34000,47912.00000,4,,
2017-10-20 12:00:00,1281.34000,1284.69000,1279.92000,1283.10000,41757.00000,4,,
2017-10-20 16:00:00,1283.09000,1284.10000,1278.41000,1280.46000,69842.00000,4,,
2017-10-20 20:00:00,1280.45000,1281.79000,1277.94000,1280.36000,32058.00000,4,,
2017-10-23 00:00:00,1279.47000,1279.47000,1274.29000,1276.06000,20358.00000,6,,
2017-10-23 04:00:00,1276.06000,1277.70000,1274.57000,1276.43000,25106.00000,6,,
2017-10-23 08:00:00,1276.44000,1277.17000,1274.02000,1275.38000,35976.00000,4,,
2017-10-23 12:00:00,1275.39000,1276.68000,1272.87000,1273.15000,39165.00000,4,,
2017-10-23 16:00:00,1273.14000,1282.99000,1272.58000,1281.00000,61090.00000,4,,
2017-10-23 20:00:00,1281.02000,1283.30000,1278.51000,1281.98000,33393.00000,4,,
2017-10-24 00:00:00,1282.01000,1283.67000,1281.29000,1283.07000,12397.00000,6,,
2017-10-24 04:00:00,1283.07000,1283.43000,1280.31000,1282.98000,23829.00000,6,,
2017-10-24 08:00:00,1282.99000,1283.19000,1277.27000,1278.07000,42461.00000,4,,
2017-10-24 12:00:00,1278.07000,1279.61000,1275.73000,1277.42000,43841.00000,4,,
2017-10-24 16:00:00,1277.43000,1278.21000,1273.77000,1276.47000,62124.00000,4,,
2017-10-24 20:00:00,1276.46000,1281.36000,1275.82000,1276.66000,42812.00000,4,,
2017-10-25 00:00:00,1276.45000,1277.47000,1275.10000,1276.02000,14127.00000,6,,
2017-10-25 04:00:00,1276.00000,1276.17000,1271.60000,1273.05000,23337.00000,6,,
